Date,TankID,DPH,BatchWeight,Temp
11/4/2019,3,58,0.1036,11.2
11/19/2019,2,73,0.2577,8
11/19/2019,3,73,0.2577,8
12/2/2019,2,86,0.4,6.7
12/2/2019,3,86,0.38,6.7
12/16/2019,2,97,0.53,5.2
12/16/2019,3,97,0.53,5.2
1/3/2020,2,115,0.71,5.3
1/3/2020,3,115,0.69,5.3
1/13/2020,2,125,0.69,5.7
1/13/2020,3,125,0.9,5.6
1/13/2020,1,125,2.91,5.6
2/3/2020,2,146,0.83,4.4
2/3/2020,3,146,1.22,4.1
2/3/2020,1,146,5.622,4.7
2/17/2020,2,160,1.04,4.4
2/17/2020,3,160,1.41,4.2
2/17/2020,4,160,3.15,5
2/17/2020,1,160,9.136,4.2
3/2/2020,2,174,1.11,4.6
3/2/2020,3,174,1.51,4.6
3/2/2020,4,174,3.92,4.7
3/2/2020,1,174,14.563,4.7
3/17/2020,2,189,1.55,6
3/17/2020,3,189,2.74,5.8
3/17/2020,4,189,6.42,5.9
3/17/2020,1,189,21.87,5.9
3/29/2020,2,201,2.22,6.3
3/29/2020,3,201,3.68,6.3
3/29/2020,4,201,12.13,6.2
3/29/2020,5,201,4.27,6.3
3/29/2020,1,201,27.53,6.4
4/12/2020,2,215,2.95,8.5
4/12/2020,3,215,5.86,8.4
4/12/2020,4,215,15.01,8.5
4/12/2020,5,215,8.08,8.5
4/12/2020,1,215,32.8,8.5
4/27/2020,2,230,6.32,8.5
4/27/2020,3,230,7.22,8.4
4/27/2020,4,230,25.85,8.3
4/27/2020,5,230,10.63,8.3
4/27/2020,1,230,41.9,8.4
5/10/2020,2,243,8,9.1
5/10/2020,3,243,14.55,9.1
5/10/2020,4,243,36.07,9
5/10/2020,5,243,19.25,10.9
5/10/2020,1,243,59.4,9.3
5/24/2020,2,257,14.82,11.4
5/24/2020,3,257,24.94,11.6
5/24/2020,4,257,48.97,11.3
5/24/2020,5,257,24.95,12.1
5/24/2020,1,257,69.3,11.6
6/7/2020,3,271,32.79,12.8
6/7/2020,4,271,80.38,12.8
6/7/2020,5,271,31.86,13.2
6/7/2020,1,271,106.96,12.8
6/21/2020,3,285,52.36,15.4
6/21/2020,4,285,101.74,15.4
6/21/2020,5,285,65.58,15.4
6/21/2020,1,285,133.22,15.6
7/6/2020,3,300,81.84,18.7
7/6/2020,4,300,125.44,18.5
7/6/2020,5,300,98.97,18.5
7/6/2020,1,300,137.59,18.7
7/20/2020,3,314,86.45,18.2
7/20/2020,4,314,124.04,18.2
7/20/2020,5,314,129.64,18.2
7/20/2020,1,314,149.09,18.2
8/10/2020,3,335,83.38,16.2
8/10/2020,4,335,158.07,15.8
8/10/2020,5,335,135.47,15.8
8/10/2020,1,335,146.65,15.9
11/27/2020,4,443,227.26,8.3
11/27/2020,5,443,222.02,8
1/31/2021,4,508,259.01,2.7
1/31/2021,5,508,268.07,2.6
